Full Name,Student ID,Contact Number,Email,Password,Teacher,Grades,Section
Joselito Magbanua,6717389832813,9194606080,joselitomagbanua@pnhs.edu.ph,Mamamoblue67!,Tom Flestado,"[79, 91, 90, 77, 99, 76, 78, 79, 95]",Rose Garden
Efren Macapagal,6717387718640,9558505026,efrenmacapagal@pnhs.edu.ph,MACAPAGAL,Tom Flestado,"[80, 100, 96, 88, 94, 77, 87, 87, 94]",Rose Garden
Pamela Dionisio,6717387766113,9288907219,pameladionisio@pnhs.edu.ph,DIONISIO,Tom Flestado,"[89, 91, 83, 92, 75, 96, 98, 78, 96]",Rose Garden
Isabelo Mangubat,6717385650160,9562627974,isabelomangubat@pnhs.edu.ph,MANGUBAT,Tom Flestado,"[92, 99, 83, 99, 95, 85, 78, 84, 88]",Rose Garden
Marvin Obispo,6717389663483,9678804786,marvinobispo@pnhs.edu.ph,OBISPO,Tom Flestado,"[80, 89, 75, 98, 98, 83, 91, 99, 80]",Rose Garden
Eugenio Tamondong,6717385018727,9612145189,eugeniotamondong@pnhs.edu.ph,TAMONDONG,Tom Flestado,"[91, 78, 95, 84, 95, 91, 94, 81, 79]",Rose Garden
Norma Penaranda,6717387766605,9563568277,normapenaranda@pnhs.edu.ph,PENARANDA,Tom Flestado,"[86, 99, 80, 92, 99, 91, 75, 94, 85]",Rose Garden
Hannah Quiambao,6717388102356,9771075731,hannahquiambao@pnhs.edu.ph,QUIAMBAO,Tom Flestado,"[90, 75, 78, 86, 100, 84, 82, 76, 82]",Rose Garden
Quirino Estrada,6717389521232,9269691831,quirinoestrada@pnhs.edu.ph,ESTRADA,Tom Flestado,"[93, 77, 77, 98, 90, 77, 99, 92, 99]",Rose Garden
Dalisay Fajardo,6717382953769,9272246372,dalisayfajardo@pnhs.edu.ph,FAJARDO,Tom Flestado,"[79, 79, 96, 90, 92, 80, 83, 91, 94]",Rose Garden
Patricia Lopez,6717388287945,9476121063,patricialopez@pnhs.edu.ph,LOPEZ,Tom Flestado,"[88, 81, 92, 99, 98, 97, 81, 97, 84]",Rose Garden
Rina Tolentino,6717382513248,9204090061,rinatolentino@pnhs.edu.ph,TOLENTINO,Tom Flestado,"[87, 96, 95, 86, 89, 91, 89, 78, 82]",Rose Garden
Ivan Tibayan,6717380461806,9188157869,ivantibayan@pnhs.edu.ph,TIBAYAN,Tom Flestado,"[82, 77, 85, 75, 93, 92, 82, 93, 82]",Rose Garden
Godofredo Sulit,6717389147951,9779954485,godofredosulit@pnhs.edu.ph,SULIT,Tom Flestado,"[75, 77, 97, 95, 76, 82, 77, 76, 85]",Rose Garden
Queenie Gacayan,6717388341611,9202366897,queeniegacayan@pnhs.edu.ph,GACAYAN,Tom Flestado,"[77, 91, 82, 83, 96, 90, 81, 92, 79]",Rose Garden
Joseph Aguilar,6717388636043,9499972670,josephaguilar@pnhs.edu.ph,AGUILAR,Tom Flestado,"[98, 93, 93, 90, 82, 100, 90, 100, 88]",Rose Garden
Cedric Abad,6717384548244,9292805504,cedricabad@pnhs.edu.ph,ABAD,Tom Flestado,"[81, 78, 78, 96, 88, 86, 88, 88, 89]",Rose Garden
Rachel Umali,6717381990848,9206524992,rachelumali@pnhs.edu.ph,UMALI,Tom Flestado,"[98, 76, 96, 95, 95, 78, 76, 87, 98]",Rose Garden
Jasmine Flores,6717387073205,9774102299,jasmineflores@pnhs.edu.ph,FLORES,Tom Flestado,"[85, 100, 78, 82, 81, 81, 92, 89, 79]",Rose Garden
Joshua Macaraeg,6717381524439,9551789444,joshuamacaraeg@pnhs.edu.ph,MACARAEG,Tom Flestado,"[88, 80, 83, 89, 82, 77, 89, 100, 92]",Rose Garden
Irene Custodio,6717388900167,9307562145,irenecustodio@pnhs.edu.ph,CUSTODIO,Tom Flestado,"[78, 76, 95, 92, 75, 77, 99, 82, 80]",Rose Garden
