Full Name,Student ID,Contact Number,Email,Password,Grades(random)
Juan dela Cruz,6717385737762,9305078740,juandelacruz@pnhs.edu.ph,DELA CRUZ,75
Maria Santos,6717381938482,9218838050,mariasantos@pnhs.edu.ph,SANTOS,96
Carlo Reyes,6717380183572,9613347331,carloreyes@pnhs.edu.ph,REYES,98
Ana Bautista,6717387922005,9177925624,anabautista@pnhs.edu.ph,BAUTISTA,76
Miguel Ramos,6717384556971,9179120941,miguelramos@pnhs.edu.ph,RAMOS,94
Lovely Fernandez,6717381949674,9616262341,lovelyfernandez@pnhs.edu.ph,FERNANDEZ,98
Jerome Garcia,6717388947275,9268226572,jeromegarcia@pnhs.edu.ph,GARCIA,75
Patricia Lopez,6717388287945,9476121063,patricialopez@pnhs.edu.ph,LOPEZ,97
Kevin Villanueva,6717387423759,9393440208,kevinvillanueva@pnhs.edu.ph,VILLANUEVA,90
Christine Mendoza,6717388219144,9473821630,christinemendoza@pnhs.edu.ph,MENDOZA,81
Ronaldo Torres,6717383966437,9219833809,ronaldotorres@pnhs.edu.ph,TORRES,95
Jasmine Flores,6717387073205,9774102299,jasmineflores@pnhs.edu.ph,FLORES,75
Mark Castillo,6717389886827,9554125161,markcastillo@pnhs.edu.ph,CASTILLO,79
Sheila Morales,6717389463763,9272984256,sheilamorales@pnhs.edu.ph,MORALES,81
Renz Aquino,6717389222879,9674332530,renzaquino@pnhs.edu.ph,AQUINO,99
Karla Rivera,6717383713421,9476982233,karlarivera@pnhs.edu.ph,RIVERA,75
Daniel Dimaculangan,6717384394047,9676577357,danieldimaculangan@pnhs.edu.ph,DIMACULANGAN,83
Nicole Cruz,6717381748312,9673898414,nicolecruz@pnhs.edu.ph,CRUZ,77
Aldrin Manalo,6717385130072,9194613512,aldrinmanalo@pnhs.edu.ph,MANALO,93
Francesca Delos Santos,6717386947451,9266763004,francescadelossantos@pnhs.edu.ph,DELOS SANTOS,74
Bryan Soriano,6717381985329,9214295702,bryansoriano@pnhs.edu.ph,SORIANO,91
Camille Pascual,6717382610533,9566296346,camillepascual@pnhs.edu.ph,PASCUAL,97
Joseph Aguilar,6717388636043,9499972670,josephaguilar@pnhs.edu.ph,AGUILAR,97
Trisha Navarro,6717382026374,9666990701,trishanavarro@pnhs.edu.ph,NAVARRO,83
Emilio Salazar,6717384470688,9301758883,emiliosalazar@pnhs.edu.ph,SALAZAR,93
Hazel Dela Torre,6717386402380,9208193409,hazeldelatorre@pnhs.edu.ph,DELA TORRE,91
Paolo Hernandez,6717387936279,9569022060,paolohernandez@pnhs.edu.ph,HERNANDEZ,91
Rhea Concepcion,6717380709916,9569221044,rheaconcepcion@pnhs.edu.ph,CONCEPCION,91
Joshua Macaraeg,6717381524439,9551789444,joshuamacaraeg@pnhs.edu.ph,MACARAEG,74
Angelica Catalan,6717387417845,9777245345,angelicacatalan@pnhs.edu.ph,CATALAN,86
Francis Espiritu,6717384854781,9183760004,francisespiritu@pnhs.edu.ph,ESPIRITU,80
Maricel Buenaventura,6717386691729,9481639966,maricelbuenaventura@pnhs.edu.ph,BUENAVENTURA,72
Daryl Ignacio,6717384986520,9195443110,darylignacio@pnhs.edu.ph,IGNACIO,74
Liza Enriquez,6717387977732,9199320482,lizaenriquez@pnhs.edu.ph,ENRIQUEZ,95
Adrian Padilla,6717388943725,9177353136,adrianpadilla@pnhs.edu.ph,PADILLA,74
Kristine Ocampo,6717385739044,9662899732,kristineocampo@pnhs.edu.ph,OCAMPO,86
Jomar Lacson,6717383513388,9675841667,jomarlacson@pnhs.edu.ph,LACSON,85
Vanessa Gutierrez,6717382502183,9493016770,vanessagutierrez@pnhs.edu.ph,GUTIERREZ,74
Christian Magpayo,6717386743506,9496084242,christianmagpayo@pnhs.edu.ph,MAGPAYO,78
Rina Tolentino,6717382513248,9204090061,rinatolentino@pnhs.edu.ph,TOLENTINO,92
