Full Name,Student ID,Contact Number,Email,Password,Grades(random)
Abegail Tolosa,6717385676101,9677629548,abegailtolosa@pnhs.edu.ph,TOLOSA,71
Bonifacio Delos Reyes,6717380787328,9265887088,bonifaciodelosreyes@pnhs.edu.ph,DELOS REYES,77
Clarissa Pimentel,6717384225792,9173037407,clarissapimentel@pnhs.edu.ph,PIMENTEL,96
Danilo Evangelista,6717386399972,9181817575,daniloevangelista@pnhs.edu.ph,EVANGELISTA,77
Estrella Liwanag,6717387174488,9191653333,estrellaliwanag@pnhs.edu.ph,LIWANAG,90
Ferdinand Balboa,6717386307195,9491344557,ferdinandbalboa@pnhs.edu.ph,BALBOA,82
Glenda Samaniego,6717381161032,9199867781,glendasamaniego@pnhs.edu.ph,SAMANIEGO,89
Hernando Abubakar,6717387767252,9473856854,hernandoabubakar@pnhs.edu.ph,ABUBAKAR,76
Irene Custodio,6717388900167,9307562145,irenecustodio@pnhs.edu.ph,CUSTODIO,71
Joselito Magbanua,6717389832813,9194606080,joselitomagbanua@pnhs.edu.ph,MAGBANUA,87
Katelyn Rebullar,6717388824729,9305774901,katelynrebullar@pnhs.edu.ph,REBULLAR,91
Lorenz Bagasina,6717389878529,9291762487,lorenzbagasina@pnhs.edu.ph,BAGASINA,87
Marisol Tabora,6717383425042,9496182333,marisoltabora@pnhs.edu.ph,TABORA,71
Napoleon Sibayan,6717387731840,9302416077,napoleonsibayan@pnhs.edu.ph,SIBAYAN,80
Olivia Lumba,6717388047445,9562710216,olivialumba@pnhs.edu.ph,LUMBA,74
Perfecto Daclan,6717381336386,9672774772,perfectodaclan@pnhs.edu.ph,DACLAN,80
Queenie Gacayan,6717388341611,9202366897,queeniegacayan@pnhs.edu.ph,GACAYAN,84
Rodrigo Sumagaysay,6717383531771,9664757602,rodrigosumagaysay@pnhs.edu.ph,SUMAGAYSAY,75
Salvacion Bilbao,6717389571456,9774720602,salvacionbilbao@pnhs.edu.ph,BILBAO,93
Teodoro Bañaga,6717381959667,9493156873,teodorobanaga@pnhs.edu.ph,BAÑAGA,80
Urbano Cadelina,6717384262781,9391411221,urbanocadelina@pnhs.edu.ph,CADELINA,82
Violeta Lacuesta,6717380779727,9672329592,violetalacuesta@pnhs.edu.ph,LACUESTA,84
Warlito Badayos,6717383310848,9196045389,warlitobadayos@pnhs.edu.ph,BADAYOS,88
Xandra Gatdula,6717381460134,9394465127,xandragatdula@pnhs.edu.ph,GATDULA,76
Yñigo Manalastas,6717380750405,9481414404,yñigomanalastas@pnhs.edu.ph,MANALASTAS,84
Zenaida Campomanes,6717382351995,9309680450,zenaidacampomanes@pnhs.edu.ph,CAMPOMANES,86
Arsenio Dacanay,6717383325378,9479400520,arseniodacanay@pnhs.edu.ph,DACANAY,71
Babylyn Sabado,6717384085551,9191114393,babylynsabado@pnhs.edu.ph,SABADO,92
Conrado Villacorta,6717381529256,9272332546,conradovillacorta@pnhs.edu.ph,VILLACORTA,77
Desiree Lapuz,6717386708516,9218422382,desireelapuz@pnhs.edu.ph,LAPUZ,98
Eugenio Tamondong,6717385018727,9612145189,eugeniotamondong@pnhs.edu.ph,TAMONDONG,79
Filomena Gatpandan,6717384282533,9202736406,filomenagatpandan@pnhs.edu.ph,GATPANDAN,87
Godofredo Sulit,6717389147951,9779954485,godofredosulit@pnhs.edu.ph,SULIT,90
Honoria Balangue,6717385469347,9278086797,honoriabalangue@pnhs.edu.ph,BALANGUE,99
Iluminada Paraiso,6717384369111,9219244991,iluminadaparaiso@pnhs.edu.ph,PARAISO,94
Juanito Macalintal,6717382100421,9209040953,juanitomacalintal@pnhs.edu.ph,MACALINTAL,82
Kristoffer Bagaybagayan,6717389528233,9193757228,kristofferbagaybagayan@pnhs.edu.ph,BAGAYBAGAYAN,80
Lilibeth Agonoy,6717389803603,9773100970,lilibethagonoy@pnhs.edu.ph,AGONOY,77
Melchor Casupanan,6717388749313,9398404630,melchorcasupanan@pnhs.edu.ph,CASUPANAN,87
Nenita Buenaobra,6717387228654,9491327039,nenitabuenaobra@pnhs.edu.ph,BUENAOBRA,83
