Full Name,Student ID,Contact Number,Email,Password,Grades(random)
Andrei Villafuerte,6717385536409,9483486065,andreivillafuerte@pnhs.edu.ph,VILLAFUERTE,90
Bianca Magsaysay,6717388852004,9394001481,biancamagsaysay@pnhs.edu.ph,MAGSAYSAY,80
Cedric Abad,6717384548244,9292805504,cedricabad@pnhs.edu.ph,ABAD,84
Diana Poblete,6717381400378,9671743513,dianapoblete@pnhs.edu.ph,POBLETE,83
Efren Macapagal,6717387718640,9558505026,efrenmacapagal@pnhs.edu.ph,MACAPAGAL,97
Fatima Alcantara,6717385651136,9471234454,fatimaalcantara@pnhs.edu.ph,ALCANTARA,96
Gino Lumabao,6717389720965,9677688176,ginolumabao@pnhs.edu.ph,LUMABAO,99
Hannah Quiambao,6717388102356,9771075731,hannahquiambao@pnhs.edu.ph,QUIAMBAO,75
Ivan Tibayan,6717380461806,9188157869,ivantibayan@pnhs.edu.ph,TIBAYAN,85
Joanna Baluyot,6717385663955,9172582976,joannabaluyot@pnhs.edu.ph,BALUYOT,95
Kenneth Velasquez,6717388699441,9775598905,kennethvelasquez@pnhs.edu.ph,VELASQUEZ,83
Lourdes Cabral,6717388210706,9217376325,lourdescabral@pnhs.edu.ph,CABRAL,96
Marvin Obispo,6717389663483,9678804786,marvinobispo@pnhs.edu.ph,OBISPO,72
Norma Penaranda,6717387766605,9563568277,normapenaranda@pnhs.edu.ph,PENARANDA,92
Oscar Tagalog,6717388458096,9664959029,oscartagalog@pnhs.edu.ph,TAGALOG,72
Pamela Dionisio,6717387766113,9288907219,pameladionisio@pnhs.edu.ph,DIONISIO,75
Quirino Estrada,6717389521232,9269691831,quirinoestrada@pnhs.edu.ph,ESTRADA,74
Rachel Umali,6717381990848,9206524992,rachelumali@pnhs.edu.ph,UMALI,92
Samuel Calimag,6717381790652,9562970309,samuelcalimag@pnhs.edu.ph,CALIMAG,78
Teresita Bulatao,6717381301826,9276325947,teresitabulatao@pnhs.edu.ph,BULATAO,80
Ulysses Abrera,6717387624207,9279726830,ulyssesabrera@pnhs.edu.ph,ABRERA,99
Veronica Canlas,6717389134169,9177957904,veronicacanlas@pnhs.edu.ph,CANLAS,72
Wendell Policarpio,6717384360526,9277448772,wendellpolicarpio@pnhs.edu.ph,POLICARPIO,85
Ximena Halili,6717388468752,9554412768,ximenahalili@pnhs.edu.ph,HALILI,91
Yolanda Bugayong,6717387361379,9295440225,yolandabugayong@pnhs.edu.ph,BUGAYONG,93
Zeus Daquigan,6717389009696,9559669573,zeusdaquigan@pnhs.edu.ph,DAQUIGAN,89
Alvin Panganiban,6717384514345,9209598318,alvinpanganiban@pnhs.edu.ph,PANGANIBAN,77
Bernadette Sto. Tomas,6717383072337,9285073567,bernadettesto.tomas@pnhs.edu.ph,STO. TOMAS,83
Crisanto Mirasol,6717383318961,9772808390,crisantomirasol@pnhs.edu.ph,MIRASOL,73
Dalisay Fajardo,6717382953769,9272246372,dalisayfajardo@pnhs.edu.ph,FAJARDO,94
Elbert Tungol,6717389116065,9484397378,elberttungol@pnhs.edu.ph,TUNGOL,89
Florencia Banaag,6717385514687,9293070059,florenciabanaag@pnhs.edu.ph,BANAAG,89
Gregorio Maceda,6717387782753,9615427078,gregoriomaceda@pnhs.edu.ph,MACEDA,98
Herminia Cabrera,6717384202910,9181834056,herminiacabrera@pnhs.edu.ph,CABRERA,99
Isabelo Mangubat,6717385650160,9562627974,isabelomangubat@pnhs.edu.ph,MANGUBAT,89
Jericho Solidum,6717381367420,9218402030,jerichosolidum@pnhs.edu.ph,SOLIDUM,78
Katrina Almendras,6717388693104,9394075412,katrinaalmendras@pnhs.edu.ph,ALMENDRAS,81
Leonardo Batungbakal,6717384915766,9183704551,leonardobatungbakal@pnhs.edu.ph,BATUNGBAKAL,83
Melanie Caguioa,6717388799568,9264881061,melaniecaguioa@pnhs.edu.ph,CAGUIOA,88
Nestor Palaganas,6717382600030,9672430742,nestorpalaganas@pnhs.edu.ph,PALAGANAS,77
